time,water_surface_height_above_reference_datum,unsicherheit (m)
2016-03-23 20:43:59.997482240,394.44,0.29
2016-04-19 20:43:59.997482240,394.62,0.49
2016-05-16 20:44:59.998283264,395.41,0.21
2016-06-12 20:44:59.998283264,395.72,0.58
2016-07-09 20:44:59.998283264,396.13,0.13
2016-09-01 20:44:59.998283264,395.28,0.18
2016-09-28 20:44:59.998283264,394.91,0.21
2016-10-25 20:44:59.998283264,394.57,0.16
2016-11-21 20:44:59.998283264,393.92,0.89
2016-12-18 20:44:59.998283264,394.1,0.81
2017-01-14 20:43:59.997482240,394.03,0.4
2017-02-10 20:43:59.997482240,393.69,1.08
2017-03-09 20:43:59.997482240,393.99,0.98
2017-04-05 20:43:59.997482240,394.59,0.26
2017-05-02 20:44:59.998283264,394.84,0.14
2017-05-29 20:44:59.998283264,395.01,0.7
2017-06-25 20:44:59.998283264,395.11,0.28
2017-07-22 20:44:59.998283264,394.6,0.78
2017-08-18 20:43:59.997482240,394.98,0.64
2017-09-14 20:43:59.997482240,395.5,0.27
2017-10-11 20:43:59.997482240,395.26,0.18
2017-11-07 20:44:59.998283264,394.67,0.48
2017-12-04 20:43:59.997482240,394.61,0.51
2017-12-31 20:43:59.997482240,394.85,0.2
2018-01-27 20:44:59.998283264,395.24,0.18
2018-03-22 20:44:59.998283264,394.46,0.18
2018-04-18 20:44:59.998283264,394.74,0.2
2018-05-15 20:44:59.998283264,395.23,0.42
2018-06-11 20:44:59.998283264,395.36,0.32
2018-07-08 20:44:59.998283264,394.73,0.69
2018-08-04 20:44:59.998283264,394.46,0.5
2018-09-27 20:44:59.998283264,394.4,0.2
2018-10-24 20:44:59.998283264,394.22,0.19
2018-11-20 20:44:59.998283264,393.95,0.59
2019-01-10 09:59:59.999141632,394.02,0.7
2019-02-06 09:59:59.999141632,394.21,0.11
2019-03-05 09:59:59.999141632,394.22,0.93
2019-04-01 09:59:59.999141632,394.34,0.08
2019-04-28 09:59:59.999141632,394.5,0.07
2019-05-25 09:59:59.999141632,395.27,0.1
2019-06-21 09:59:59.999141632,395.99,0.11
2019-07-18 09:59:59.999141632,395.39,0.18
2019-08-14 09:59:59.999141632,395.37,0.43
2019-09-10 09:59:59.999141632,395.16,0.18
2019-10-07 09:59:59.999141632,394.8,0.05
2019-11-03 09:59:59.999141632,394.97,0.35
2019-11-30 09:59:59.999141632,394.4,0.33
2019-12-27 09:59:59.999141632,394.4,0.09
2020-01-23 09:59:59.999141632,394.22,0.08
2020-02-19 09:59:59.999141632,394.73,0.64
2020-03-17 09:59:59.999141632,394.54,0.08
2020-04-13 09:59:59.999141632,394.25,0.15
2020-05-10 09:59:59.999141632,394.52,0.06
2020-06-06 09:59:59.999141632,394.67,0.11
2020-07-03 09:59:59.999141632,395.24,0.07
2020-07-30 09:59:59.999141632,394.87,0.05
2020-08-26 09:59:59.999141632,394.6,0.04
2020-09-22 09:59:59.999141632,394.73,0.04
2020-10-19 09:59:59.999141632,394.93,0.03
2020-11-15 09:59:59.999141632,394.67,0.05
2020-12-12 09:59:59.999141632,394.39,0.14
2021-01-08 09:59:59.999141632,394.32,0.03
2021-02-04 09:59:59.999141632,395.0,0.03
2021-03-03 09:59:59.999141632,394.56,0.04
2021-03-30 09:59:59.999141632,394.3,0.03
2021-04-26 09:59:59.999141632,394.22,0.06
2021-05-23 09:59:59.999141632,394.99,0.03
2021-06-19 09:59:59.999141632,395.48,0.06
2021-07-16 09:59:59.999141632,395.95,0.09
2021-08-12 09:59:59.999141632,395.89,0.01
2021-09-08 09:59:59.999141632,395.38,0.01
2021-10-05 09:59:59.999141632,394.61,0.04
2021-11-01 09:59:59.999141632,394.26,0.11
2021-11-28 09:59:59.999141632,394.18,0.09
2021-12-25 09:59:59.999141632,394.23,0.05
2022-01-21 09:59:59.999141632,394.25,0.03
2022-02-17 09:59:59.999141632,394.19,0.06
2022-03-16 09:59:59.999141632,394.08,0.06
2022-04-12 09:59:59.999141632,394.14,0.06
2022-05-09 10:00:59.999942656,394.33,0.04
2022-06-05 10:00:59.999942656,394.81,0.01
2022-07-02 10:00:59.999942656,394.86,0.09
2022-07-29 10:00:59.999942656,394.41,0.05
2022-08-25 10:00:59.999942656,394.47,0.05
2022-09-21 10:00:59.999942656,394.41,0.04
2022-10-18 10:00:59.999942656,394.5,0.06
2022-11-14 10:00:59.999942656,394.39,0.06
2022-12-11 10:00:59.999942656,394.23,0.05
2023-01-07 10:00:59.999942656,394.25,0.07
2023-02-03 10:00:59.999942656,394.09,0.04
2023-03-02 10:00:59.999942656,394.07,0.04
2023-03-29 10:00:59.999942656,394.12,0.05
2023-04-25 10:00:59.999942656,394.48,0.02
2023-05-22 10:00:59.999942656,395.21,0.05
2023-06-18 10:00:59.999942656,394.86,0.02
2023-07-15 10:00:59.999942656,394.68,0.05
2023-08-11 10:00:59.999942656,394.81,0.02
2023-09-07 10:00:59.999942656,395.22,0.05
2023-10-31 10:00:59.999942656,394.63,0.03
2023-11-27 10:00:59.999942656,395.17,0.03
2023-12-24 10:00:59.999942656,395.28,0.03
