time,lat,lon,realization,t2m
1940-01-01,47.25,5.75,0,2209.1602
1940-01-01,47.25,6.0,0,2158.9377
1940-01-01,47.25,6.25,0,2055.954
1940-01-01,47.25,6.5,0,1832.0024
1940-01-01,47.25,6.75,0,1662.9482
1940-01-01,47.25,7.0,0,1564.4333
1940-01-01,47.25,7.25,0,1667.6531
1940-01-01,47.25,7.5,0,1703.6521
1940-01-01,47.25,7.75,0,1745.6875
1940-01-01,47.25,8.0,0,1710.8411
1940-01-01,47.25,8.25,0,1746.7811
1940-01-01,47.25,8.5,0,1768.9551
1940-01-01,47.25,8.75,0,1464.7548
1940-01-01,47.25,9.0,0,1293.8611
1940-01-01,47.25,9.25,0,1192.6952
1940-01-01,47.25,9.5,0,1218.5271
1940-01-01,47.25,9.75,0,989.79553
1940-01-01,47.25,10.0,0,625.4331
1940-01-01,47.25,10.25,0,480.56525
1940-01-01,47.25,10.5,0,393.30307
1940-01-01,47.25,10.75,0,445.89502
1940-01-01,47.25,11.0,0,478.2922
1940-01-01,47.25,11.25,0,493.7154
1940-01-01,47.25,11.5,0,534.23425
1940-01-01,47.25,11.75,0,529.49695
1940-01-01,47.25,12.0,0,515.7115
1940-01-01,47.25,12.25,0,432.1491
1940-01-01,47.25,12.5,0,436.9179
1940-01-01,47.25,12.75,0,476.14273
1940-01-01,47.25,13.0,0,589.4655
1940-01-01,47.25,13.25,0,596.9486
1940-01-01,47.25,13.5,0,551.6697
1940-01-01,47.25,13.75,0,665.78485
1940-01-01,47.25,14.0,0,607.874
1940-01-01,47.25,14.25,0,688.8545
1940-01-01,47.25,14.5,0,792.61346
1940-01-01,47.25,14.75,0,946.3414
1940-01-01,47.25,15.0,0,1124.6213
1940-01-01,47.5,5.75,0,2231.3662
1940-01-01,47.5,6.0,0,2193.2402
1940-01-01,47.5,6.25,0,2114.9287
1940-01-01,47.5,6.5,0,2058.4912
1940-01-01,47.5,6.75,0,1876.852
1940-01-01,47.5,7.0,0,1777.5457
1940-01-01,47.5,7.25,0,1814.0259
1940-01-01,47.5,7.5,0,1820.9537
1940-01-01,47.5,7.75,0,1862.7522
1940-01-01,47.5,8.0,0,1704.812
1940-01-01,47.5,8.25,0,1796.9115
1940-01-01,47.5,8.5,0,1817.3074
1940-01-01,47.5,8.75,0,1777.9501
1940-01-01,47.5,9.0,0,1831.8164
1940-01-01,47.5,9.25,0,1723.4022
1940-01-01,47.5,9.5,0,1733.8795
1940-01-01,47.5,9.75,0,1537.2053
1940-01-01,47.5,10.0,0,1125.0308
1940-01-01,47.5,10.25,0,931.6763
1940-01-01,47.5,10.5,0,832.8084
1940-01-01,47.5,10.75,0,909.63074
1940-01-01,47.5,11.0,0,955.5941
1940-01-01,47.5,11.25,0,976.57874
1940-01-01,47.5,11.5,0,920.80566
1940-01-01,47.5,11.75,0,911.32776
1940-01-01,47.5,12.0,0,925.30664
1940-01-01,47.5,12.25,0,931.647
1940-01-01,47.5,12.5,0,935.7559
1940-01-01,47.5,12.75,0,922.005
1940-01-01,47.5,13.0,0,922.24133
1940-01-01,47.5,13.25,0,925.39197
1940-01-01,47.5,13.5,0,831.37964
1940-01-01,47.5,13.75,0,752.2527
1940-01-01,47.5,14.0,0,685.7108
1940-01-01,47.5,14.25,0,766.1128
1940-01-01,47.5,14.5,0,843.9496
1940-01-01,47.5,14.75,0,967.3612
1940-01-01,47.5,15.0,0,1135.082
1940-01-01,47.75,5.75,0,2118.3682
1940-01-01,47.75,6.0,0,2126.5251
1940-01-01,47.75,6.25,0,2063.9946
1940-01-01,47.75,6.5,0,2008.0806
1940-01-01,47.75,6.75,0,1821.6133
1940-01-01,47.75,7.0,0,1895.1555
1940-01-01,47.75,7.25,0,1931.6013
1940-01-01,47.75,7.5,0,1976.5194
1940-01-01,47.75,7.75,0,1829.8367
1940-01-01,47.75,8.0,0,1621.332
1940-01-01,47.75,8.25,0,1686.4297
1940-01-01,47.75,8.5,0,1703.3542
1940-01-01,47.75,8.75,0,1785.9218
1940-01-01,47.75,9.0,0,1838.0582
1940-01-01,47.75,9.25,0,1863.1272
1940-01-01,47.75,9.5,0,1886.8022
1940-01-01,47.75,9.75,0,1687.5356
1940-01-01,47.75,10.0,0,1538.1741
1940-01-01,47.75,10.25,0,1433.8202
1940-01-01,47.75,10.5,0,1313.2029
1940-01-01,47.75,10.75,0,1331.5781
1940-01-01,47.75,11.0,0,1374.9933
1940-01-01,47.75,11.25,0,1392.4915
