Year,1,2,3,4,5,6,7,8,9,10,11,12,Yearly_Sum
1901,31.17,26.0,65.42,124.58,16.5,129.33,84.33,88.0,88.08,36.17,25.33,44.5,759.41
1902,32.0,55.58,53.75,35.92,107.08,72.33,89.25,115.42,78.0,78.92,15.25,79.83,813.3299999999999
1903,35.0,27.83,37.0,53.17,39.83,88.5,131.33,100.67,45.0,76.0,81.08,16.58,731.99
1904,29.17,95.75,36.58,60.75,129.83,78.33,22.17,64.0,98.83,34.25,44.92,40.08,734.6600000000001
1905,44.08,24.33,84.17,83.67,75.58,64.33,76.42,178.92,117.5,101.5,47.33,37.58,935.4100000000001
1906,44.92,44.58,61.58,41.25,140.5,100.75,131.25,58.92,28.08,19.75,31.5,67.33,770.41
1907,61.67,33.67,60.92,73.83,43.83,84.58,87.5,60.75,51.0,28.75,15.92,88.92,691.3399999999999
1908,22.92,72.17,37.08,68.33,97.5,84.33,145.33,75.08,132.0,6.5,46.75,38.17,826.16
1909,27.58,15.5,46.58,41.33,32.25,167.08,142.17,70.25,57.17,63.5,42.67,100.42,806.4999999999999
1910,136.25,63.42,24.0,76.75,82.17,154.33,136.5,110.75,86.25,19.92,134.08,68.25,1092.67
1911,22.08,40.42,44.58,31.83,70.58,110.5,13.75,41.83,89.08,47.0,48.92,61.83,622.4
1912,74.92,40.67,77.5,29.83,98.67,129.42,98.08,148.83,47.67,103.75,37.08,29.0,915.4200000000001
1913,65.42,27.67,72.58,56.17,58.17,110.83,112.92,98.5,67.83,24.25,91.83,38.08,824.2500000000001
1914,79.33,24.75,122.25,46.08,142.83,104.75,141.5,96.83,76.5,27.08,48.5,41.5,951.9000000000001
1915,73.5,44.42,72.92,75.42,76.75,88.0,114.33,98.5,79.58,24.58,70.67,113.08,931.7500000000001
1916,43.08,67.25,57.83,47.67,72.33,148.08,113.42,83.67,62.75,95.25,62.25,79.83,933.41
1917,38.67,14.25,68.5,66.33,69.08,77.67,111.17,161.33,58.25,129.58,54.42,19.33,868.58
1918,64.92,21.58,29.58,70.0,35.33,108.75,63.75,68.0,130.92,33.25,36.08,114.92,777.0799999999999
1919,16.42,55.58,123.08,97.17,23.17,83.0,87.75,40.08,25.0,35.42,105.42,117.5,809.5899999999999
1920,68.92,15.17,34.75,59.83,83.08,61.83,110.42,64.0,104.5,3.5,4.25,35.67,645.92
1921,44.42,4.42,17.67,46.67,88.5,68.25,35.58,104.08,65.0,21.67,57.92,30.58,584.76
1922,84.0,71.42,73.33,132.08,56.17,135.42,125.75,119.08,112.33,91.58,82.25,70.0,1153.4100000000003
1923,47.25,64.08,31.5,53.83,72.92,80.67,25.92,52.42,52.58,112.42,109.25,98.33,801.1700000000001
1924,29.58,14.58,38.5,104.33,124.83,129.92,130.0,117.58,53.08,43.42,16.42,21.33,823.57
1925,40.92,34.83,52.83,98.42,46.83,43.67,101.42,102.5,90.75,26.75,53.5,108.58,801.0000000000001
1926,55.67,31.58,64.83,31.92,135.92,209.08,130.92,40.58,38.75,104.25,47.75,30.67,921.92
1927,56.58,69.0,76.58,93.67,67.0,113.92,124.25,181.67,124.92,21.17,57.08,26.92,1012.7599999999999
1928,45.08,54.92,33.33,51.5,88.33,75.67,17.25,119.5,37.33,73.25,98.25,59.25,753.66
1929,29.75,14.92,15.08,73.33,49.92,85.25,105.0,89.17,21.5,96.17,35.17,111.5,726.76
1930,31.67,20.08,45.33,142.67,125.75,65.17,185.42,92.92,68.75,116.92,96.33,38.58,1029.59
