time,lat,lon,realization,total_precipitation (tp)
1940-01-01,47.25,5.75,0,1009.34143
1940-01-01,47.25,6.0,0,1056.1053
1940-01-01,47.25,6.25,0,1074.3853
1940-01-01,47.25,6.5,0,1150.3562
1940-01-01,47.25,6.75,0,1216.728
1940-01-01,47.25,7.0,0,1275.2461
1940-01-01,47.25,7.25,0,1154.8807
1940-01-01,47.25,7.5,0,1117.8629
1940-01-01,47.25,7.75,0,1088.5077
1940-01-01,47.25,8.0,0,1221.9186
1940-01-01,47.25,8.25,0,1252.9344
1940-01-01,47.25,8.5,0,1195.8611
1940-01-01,47.25,8.75,0,1316.6332
1940-01-01,47.25,9.0,0,1547.7886
1940-01-01,47.25,9.25,0,1754.8557
1940-01-01,47.25,9.5,0,1570.2972
1940-01-01,47.25,9.75,0,1395.1147
1940-01-01,47.25,10.0,0,1573.4294
1940-01-01,47.25,10.25,0,1627.0735
1940-01-01,47.25,10.5,0,1529.574
1940-01-01,47.25,10.75,0,1334.6824
1940-01-01,47.25,11.0,0,1282.8374
1940-01-01,47.25,11.25,0,1339.7097
1940-01-01,47.25,11.5,0,1308.2029
1940-01-01,47.25,11.75,0,1306.052
1940-01-01,47.25,12.0,0,1295.7006
1940-01-01,47.25,12.25,0,1315.1001
1940-01-01,47.25,12.5,0,1311.6923
1940-01-01,47.25,12.75,0,1349.4338
1940-01-01,47.25,13.0,0,1258.4994
1940-01-01,47.25,13.25,0,1177.3984
1940-01-01,47.25,13.5,0,1138.7356
1940-01-01,47.25,13.75,0,1060.71
1940-01-01,47.25,14.0,0,1043.0115
1940-01-01,47.25,14.25,0,973.63654
1940-01-01,47.25,14.5,0,1002.5692
1940-01-01,47.25,14.75,0,998.79785
1940-01-01,47.25,15.0,0,920.52966
1940-01-01,47.5,5.75,0,962.4465
1940-01-01,47.5,6.0,0,1014.6472
1940-01-01,47.5,6.25,0,1008.12085
1940-01-01,47.5,6.5,0,961.55023
1940-01-01,47.5,6.75,0,1037.378
1940-01-01,47.5,7.0,0,1091.1509
1940-01-01,47.5,7.25,0,1010.7787
1940-01-01,47.5,7.5,0,1012.68774
1940-01-01,47.5,7.75,0,983.6054
1940-01-01,47.5,8.0,0,1199.0737
1940-01-01,47.5,8.25,0,1039.3044
1940-01-01,47.5,8.5,0,982.5331
1940-01-01,47.5,8.75,0,971.7612
1940-01-01,47.5,9.0,0,1079.3276
1940-01-01,47.5,9.25,0,1281.2764
1940-01-01,47.5,9.5,0,1211.4075
1940-01-01,47.5,9.75,0,1337.1019
1940-01-01,47.5,10.0,0,1518.1002
1940-01-01,47.5,10.25,0,1560.6189
1940-01-01,47.5,10.5,0,1545.7887
1940-01-01,47.5,10.75,0,1408.877
1940-01-01,47.5,11.0,0,1358.3372
1940-01-01,47.5,11.25,0,1398.6232
1940-01-01,47.5,11.5,0,1482.1007
1940-01-01,47.5,11.75,0,1479.9985
1940-01-01,47.5,12.0,0,1545.916
1940-01-01,47.5,12.25,0,1549.9629
1940-01-01,47.5,12.5,0,1546.5508
1940-01-01,47.5,12.75,0,1674.8756
1940-01-01,47.5,13.0,0,1631.0042
1940-01-01,47.5,13.25,0,1550.2048
1940-01-01,47.5,13.5,0,1509.6482
1940-01-01,47.5,13.75,0,1464.0889
1940-01-01,47.5,14.0,0,1443.0056
1940-01-01,47.5,14.25,0,1358.9277
1940-01-01,47.5,14.5,0,1233.0283
1940-01-01,47.5,14.75,0,1169.8235
1940-01-01,47.5,15.0,0,1093.38
1940-01-01,47.75,5.75,0,964.2157
1940-01-01,47.75,6.0,0,1014.37854
1940-01-01,47.75,6.25,0,1085.8843
1940-01-01,47.75,6.5,0,1039.546
1940-01-01,47.75,6.75,0,1100.2372
1940-01-01,47.75,7.0,0,887.1312
1940-01-01,47.75,7.25,0,807.36804
1940-01-01,47.75,7.5,0,794.7371
1940-01-01,47.75,7.75,0,999.87146
1940-01-01,47.75,8.0,0,1271.7926
1940-01-01,47.75,8.25,0,1117.596
1940-01-01,47.75,8.5,0,952.6713
1940-01-01,47.75,8.75,0,830.0984
1940-01-01,47.75,9.0,0,936.9922
1940-01-01,47.75,9.25,0,1009.7463
1940-01-01,47.75,9.5,0,1014.60156
1940-01-01,47.75,9.75,0,1139.7285
1940-01-01,47.75,10.0,0,1266.0806
1940-01-01,47.75,10.25,0,1284.2703
1940-01-01,47.75,10.5,0,1269.4688
1940-01-01,47.75,10.75,0,1230.5846
1940-01-01,47.75,11.0,0,1202.9009
1940-01-01,47.75,11.25,0,1242.8376
1940-01-01,47.75,11.5,0,1351.665
1940-01-01,47.75,11.75,0,1340.821
1940-01-01,47.75,12.0,0,1414.0454
1940-01-01,47.75,12.25,0,1420.8535
1940-01-01,47.75,12.5,0,1456.5465
1940-01-01,47.75,12.75,0,1631.0686
1940-01-01,47.75,13.0,0,1587.9604
1940-01-01,47.75,13.25,0,1564.4546
1940-01-01,47.75,13.5,0,1515.3213
1940-01-01,47.75,13.75,0,1470.1538
1940-01-01,47.75,14.0,0,1489.7048
1940-01-01,47.75,14.25,0,1442.3956
1940-01-01,47.75,14.5,0,1316.9912
1940-01-01,47.75,14.75,0,1246.373
1940-01-01,47.75,15.0,0,1295.9287
1940-01-01,48.0,5.75,0,919.4607
1940-01-01,48.0,6.0,0,958.85547
1940-01-01,48.0,6.25,0,1114.165
1940-01-01,48.0,6.5,0,1172.2976
1940-01-01,48.0,6.75,0,1283.448
1940-01-01,48.0,7.0,0,1037.9885
1940-01-01,48.0,7.25,0,862.0205
1940-01-01,48.0,7.5,0,728.82245
1940-01-01,48.0,7.75,0,932.9999
1940-01-01,48.0,8.0,0,1256.7981
1940-01-01,48.0,8.25,0,1247.947
1940-01-01,48.0,8.5,0,1083.8022
1940-01-01,48.0,8.75,0,871.25256
1940-01-01,48.0,9.0,0,890.4989
1940-01-01,48.0,9.25,0,952.1792
1940-01-01,48.0,9.5,0,931.447
1940-01-01,48.0,9.75,0,883.6577
1940-01-01,48.0,10.0,0,974.6826
1940-01-01,48.0,10.25,0,999.2662
1940-01-01,48.0,10.5,0,1046.2239
1940-01-01,48.0,10.75,0,1020.5571
1940-01-01,48.0,11.0,0,984.74304
1940-01-01,48.0,11.25,0,941.153
1940-01-01,48.0,11.5,0,981.21765
1940-01-01,48.0,11.75,0,970.4316
1940-01-01,48.0,12.0,0,945.34845
1940-01-01,48.0,12.25,0,940.28925
1940-01-01,48.0,12.5,0,975.86584
1940-01-01,48.0,12.75,0,1060.5721
1940-01-01,48.0,13.0,0,1095.5829
1940-01-01,48.0,13.25,0,1087.0646
1940-01-01,48.0,13.5,0,1053.6172
1940-01-01,48.0,13.75,0,997.09503
1940-01-01,48.0,14.0,0,1044.7341
1940-01-01,48.0,14.25,0,1042.4354
1940-01-01,48.0,14.5,0,1048.7188
1940-01-01,48.0,14.75,0,1035.3027
1940-01-01,48.0,15.0,0,1103.7972
1940-01-01,48.25,5.75,0,920.41376
1940-01-01,48.25,6.0,0,914.3085
1940-01-01,48.25,6.25,0,901.67957
1940-01-01,48.25,6.5,0,941.57495
1940-01-01,48.25,6.75,0,1028.4412
1940-01-01,48.25,7.0,0,1064.9436
1940-01-01,48.25,7.25,0,975.4116
1940-01-01,48.25,7.5,0,801.5635
1940-01-01,48.25,7.75,0,787.66534
1940-01-01,48.25,8.0,0,1007.1362
1940-01-01,48.25,8.25,0,1124.7859
1940-01-01,48.25,8.5,0,1140.4014
