time,lat,lon,realization,maximum_five_days_precipitation (tp)
1940-01-01,47.25,5.75,0,81.1305
1940-01-01,47.25,6.0,0,73.58217
1940-01-01,47.25,6.25,0,77.62265
1940-01-01,47.25,6.5,0,80.7302
1940-01-01,47.25,6.75,0,91.14885
1940-01-01,47.25,7.0,0,94.29263
1940-01-01,47.25,7.25,0,79.52046
1940-01-01,47.25,7.5,0,73.03047
1940-01-01,47.25,7.75,0,66.76793
1940-01-01,47.25,8.0,0,66.907646
1940-01-01,47.25,8.25,0,75.94441
1940-01-01,47.25,8.5,0,83.17137
1940-01-01,47.25,8.75,0,94.36536
1940-01-01,47.25,9.0,0,105.744125
1940-01-01,47.25,9.25,0,118.62349
1940-01-01,47.25,9.5,0,118.68692
1940-01-01,47.25,9.75,0,108.2952
1940-01-01,47.25,10.0,0,111.86241
1940-01-01,47.25,10.25,0,108.18769
1940-01-01,47.25,10.5,0,97.40997
1940-01-01,47.25,10.75,0,89.01978
1940-01-01,47.25,11.0,0,85.72125
1940-01-01,47.25,11.25,0,85.51264
1940-01-01,47.25,11.5,0,87.12602
1940-01-01,47.25,11.75,0,88.37891
1940-01-01,47.25,12.0,0,84.81192
1940-01-01,47.25,12.25,0,75.98042
1940-01-01,47.25,12.5,0,70.41025
1940-01-01,47.25,12.75,0,70.80913
1940-01-01,47.25,13.0,0,65.93585
1940-01-01,47.25,13.25,0,60.30178
1940-01-01,47.25,13.5,0,60.768364
1940-01-01,47.25,13.75,0,57.21974
1940-01-01,47.25,14.0,0,56.48327
1940-01-01,47.25,14.25,0,53.195236
1940-01-01,47.25,14.5,0,50.95529
1940-01-01,47.25,14.75,0,56.380745
1940-01-01,47.25,15.0,0,61.762093
1940-01-01,47.5,5.75,0,80.21808
1940-01-01,47.5,6.0,0,73.04573
1940-01-01,47.5,6.25,0,73.84634
1940-01-01,47.5,6.5,0,67.296745
1940-01-01,47.5,6.75,0,72.23153
1940-01-01,47.5,7.0,0,74.59402
1940-01-01,47.5,7.25,0,75.443985
1940-01-01,47.5,7.5,0,72.797775
1940-01-01,47.5,7.75,0,66.577675
1940-01-01,47.5,8.0,0,66.80584
1940-01-01,47.5,8.25,0,68.74013
1940-01-01,47.5,8.5,0,64.82339
1940-01-01,47.5,8.75,0,72.064644
1940-01-01,47.5,9.0,0,82.34859
1940-01-01,47.5,9.25,0,95.04867
1940-01-01,47.5,9.5,0,97.26883
1940-01-01,47.5,9.75,0,105.13116
1940-01-01,47.5,10.0,0,110.3537
1940-01-01,47.5,10.25,0,108.13069
1940-01-01,47.5,10.5,0,110.8477
1940-01-01,47.5,10.75,0,108.04414
1940-01-01,47.5,11.0,0,104.93088
1940-01-01,47.5,11.25,0,107.50746
1940-01-01,47.5,11.5,0,108.415596
1940-01-01,47.5,11.75,0,109.670166
1940-01-01,47.5,12.0,0,113.74927
1940-01-01,47.5,12.25,0,110.22258
1940-01-01,47.5,12.5,0,104.67863
1940-01-01,47.5,12.75,0,106.82036
1940-01-01,47.5,13.0,0,93.919754
