time,lat,lon,realization,magnitude_of_meteorological_droughts (dmd)
1940-01-01,47.25,5.75,0,0.0
1940-01-01,47.25,6.0,0,0.0
1940-01-01,47.25,6.25,0,0.0
1940-01-01,47.25,6.5,0,2.93412792912539
1940-01-01,47.25,6.75,0,5.405740512707787
1940-01-01,47.25,7.0,0,8.259962661380875
1940-01-01,47.25,7.25,0,6.422258691823889
1940-01-01,47.25,7.5,0,6.498103656275273
1940-01-01,47.25,7.75,0,6.135787596381448
1940-01-01,47.25,8.0,0,0.0
1940-01-01,47.25,8.25,0,0.0
1940-01-01,47.25,8.5,0,0.0
1940-01-01,47.25,8.75,0,4.132244316094062
1940-01-01,47.25,9.0,0,0.0
1940-01-01,47.25,9.25,0,0.0
1940-01-01,47.25,9.5,0,0.0
1940-01-01,47.25,9.75,0,0.0
1940-01-01,47.25,10.0,0,3.755932059255792
1940-01-01,47.25,10.25,0,3.7790170752175922
1940-01-01,47.25,10.5,0,0.0
1940-01-01,47.25,10.75,0,9.446165238231513
1940-01-01,47.25,11.0,0,10.755555949537355
1940-01-01,47.25,11.25,0,11.868359787718132
1940-01-01,47.25,11.5,0,10.724827751615441
1940-01-01,47.25,11.75,0,9.820879492833805
1940-01-01,47.25,12.0,0,8.532188090768457
1940-01-01,47.25,12.25,0,0.0
1940-01-01,47.25,12.5,0,0.0
1940-01-01,47.25,12.75,0,0.0
1940-01-01,47.25,13.0,0,8.262681605410368
1940-01-01,47.25,13.25,0,4.795865700410311
1940-01-01,47.25,13.5,0,5.427996432958896
1940-01-01,47.25,13.75,0,5.411188408183056
1940-01-01,47.25,14.0,0,5.738247365217477
1940-01-01,47.25,14.25,0,3.476664348850802
1940-01-01,47.25,14.5,0,4.986235888865303
1940-01-01,47.25,14.75,0,4.438427288901186
1940-01-01,47.25,15.0,0,4.236506003221691
1940-01-01,47.5,5.75,0,0.0
1940-01-01,47.5,6.0,0,0.0
1940-01-01,47.5,6.25,0,0.0
1940-01-01,47.5,6.5,0,0.0
1940-01-01,47.5,6.75,0,2.639436080663006
1940-01-01,47.5,7.0,0,5.352688139386736
1940-01-01,47.5,7.25,0,5.706664401015258
1940-01-01,47.5,7.5,0,5.607009250318132
1940-01-01,47.5,7.75,0,5.297048664119876
1940-01-01,47.5,8.0,0,5.828267733679546
1940-01-01,47.5,8.25,0,0.0
1940-01-01,47.5,8.5,0,0.0
1940-01-01,47.5,8.75,0,0.0
1940-01-01,47.5,9.0,0,0.0
1940-01-01,47.5,9.25,0,0.0
1940-01-01,47.5,9.5,0,0.0
1940-01-01,47.5,9.75,0,0.0
1940-01-01,47.5,10.0,0,0.0
1940-01-01,47.5,10.25,0,0.0
