time,lat,lon,fire_weather_index (fwi)
1979-01-01,47.25,5.75,4.4030066
1979-01-01,47.25,6.0,4.301005
1979-01-01,47.25,6.25,3.906424
1979-01-01,47.25,6.5,3.1208768
1979-01-01,47.25,6.75,2.3465743
1979-01-01,47.25,7.0,1.7558305
1979-01-01,47.25,7.25,1.3918501
1979-01-01,47.25,7.5,1.194026
1979-01-01,47.25,7.75,1.1214389
1979-01-01,47.25,8.0,1.2065034
1979-01-01,47.25,8.25,1.455872
1979-01-01,47.25,8.5,1.607118
1979-01-01,47.25,8.75,1.5250409
1979-01-01,47.25,9.0,1.1979371
1979-01-01,47.25,9.25,0.9966308
1979-01-01,47.25,9.5,0.90740156
1979-01-01,47.25,9.75,0.85195905
1979-01-01,47.25,10.0,0.7847489
1979-01-01,47.25,10.25,0.67653775
1979-01-01,47.25,10.5,0.62024623
1979-01-01,47.25,10.75,0.5919585
1979-01-01,47.25,11.0,0.6447382
1979-01-01,47.25,11.25,0.6769693
1979-01-01,47.25,11.5,0.7217455
1979-01-01,47.25,11.75,0.7881437
1979-01-01,47.25,12.0,0.8863797
1979-01-01,47.25,12.25,0.9512185
1979-01-01,47.25,12.5,0.99412316
1979-01-01,47.25,12.75,1.0457667
1979-01-01,47.25,13.0,1.1144724
1979-01-01,47.25,13.25,1.0679795
1979-01-01,47.25,13.5,0.9686206
1979-01-01,47.25,13.75,0.871467
1979-01-01,47.25,14.0,0.91633606
1979-01-01,47.25,14.25,1.1578372
1979-01-01,47.25,14.5,1.4168937
1979-01-01,47.25,14.75,1.7926326
1979-01-01,47.25,15.0,2.195974
1979-01-01,47.5,5.75,3.9255238
1979-01-01,47.5,6.0,3.9680815
1979-01-01,47.5,6.25,4.2412095
1979-01-01,47.5,6.5,4.4811745
1979-01-01,47.5,6.75,4.359909
1979-01-01,47.5,7.0,3.8937604
1979-01-01,47.5,7.25,3.53901
1979-01-01,47.5,7.5,3.014481
1979-01-01,47.5,7.75,2.6263661
1979-01-01,47.5,8.0,2.154957
1979-01-01,47.5,8.25,2.0454636
1979-01-01,47.5,8.5,2.1238143
1979-01-01,47.5,8.75,2.1126509
1979-01-01,47.5,9.0,1.7709101
1979-01-01,47.5,9.25,1.2508065
1979-01-01,47.5,9.5,1.0535583
1979-01-01,47.5,9.75,1.156704
1979-01-01,47.5,10.0,1.2584043
1979-01-01,47.5,10.25,1.2304665
1979-01-01,47.5,10.5,1.0982907
1979-01-01,47.5,10.75,0.9865426
1979-01-01,47.5,11.0,0.95749885
1979-01-01,47.5,11.25,1.0393682
1979-01-01,47.5,11.5,1.155584
1979-01-01,47.5,11.75,1.2483789
1979-01-01,47.5,12.0,1.3286681
1979-01-01,47.5,12.25,1.3771026
1979-01-01,47.5,12.5,1.3212212
1979-01-01,47.5,12.75,1.2005094
1979-01-01,47.5,13.0,1.0771096
1979-01-01,47.5,13.25,1.0331966
1979-01-01,47.5,13.5,1.0487406
