year,min_t,max_t
1850,-0.023,-0.035
1851,-0.022,-0.033
1852,-0.021,-0.032
1853,-0.02,-0.03
1854,-0.019,-0.029
1855,-0.019,-0.029
1856,-0.019,-0.029
1857,-0.019,-0.029
1858,-0.019,-0.028
1859,-0.018,-0.027
1860,-0.018,-0.028
1861,-0.019,-0.029
1862,-0.019,-0.029
1863,-0.02,-0.03
1864,-0.02,-0.029
1865,-0.019,-0.029
1866,-0.019,-0.028
1867,-0.018,-0.027
1868,-0.017,-0.026
1869,-0.016,-0.024
1870,-0.015,-0.022
1871,-0.013,-0.02
1872,-0.012,-0.018
1873,-0.01,-0.016
1874,-0.008,-0.013
1875,-0.007,-0.01
1876,-0.004,-0.007
1877,-0.003,-0.004
1878,-0.001,-0.002
1879,0,0
1880,0.001,0.002
1881,0.002,0.004
1882,0.004,0.005
1883,0.004,0.007
1884,0.006,0.008
1885,0.007,0.011
1886,0.009,0.013
1887,0.011,0.017
1888,0.015,0.022
1889,0.018,0.027
1890,0.021,0.031
1891,0.023,0.035
1892,0.025,0.038
1893,0.028,0.042
1894,0.03,0.046
1895,0.032,0.048
1896,0.034,0.051
1897,0.036,0.054
1898,0.038,0.057
1899,0.041,0.061
1900,0.043,0.065
1901,0.045,0.067
1902,0.046,0.069
1903,0.048,0.071
1904,0.05,0.075
1905,0.053,0.079
1906,0.055,0.083
1907,0.058,0.087
1908,0.061,0.091
1909,0.064,0.096
1910,0.067,0.1
1911,0.069,0.104
1912,0.072,0.108
1913,0.075,0.112
1914,0.078,0.116
1915,0.081,0.122
1916,0.086,0.129
1917,0.09,0.135
1918,0.094,0.141
1919,0.098,0.147
1920,0.102,0.153
1921,0.106,0.159
1922,0.11,0.165
1923,0.113,0.169
1924,0.115,0.173
1925,0.118,0.177
1926,0.12,0.18
1927,0.122,0.183
1928,0.125,0.187
1929,0.128,0.192
1930,0.13,0.196
1931,0.133,0.2
1932,0.136,0.205
1933,0.14,0.209
1934,0.143,0.215
1935,0.147,0.221
1936,0.151,0.226
1937,0.153,0.23
1938,0.157,0.235
1939,0.16,0.24
1940,0.163,0.245
1941,0.166,0.25
1942,0.169,0.254
