Time,Mean Temperature (K),Std Dev,Uncertainty (K),Mean Quality Level,Non-Zero Count
2018-01-01 12:00:00,278.53882,0.6013722,0.31473115,4.214285714285714,42.0
2018-01-02 12:00:00,278.3736,0.8786254,0.7580187,4.276595744680851,47.0
2018-01-05 12:00:00,278.29,1.3101802,0.28308254,3.5454545454545454,33.0
2018-01-06 12:00:00,278.98975,0.36001065,0.42995572,4.15,40.0
2018-01-08 12:00:00,277.4258,0.31510055,0.25719595,4.5,12.0
2018-01-09 12:00:00,278.45706,0.568189,0.28394398,4.382352941176471,34.0
2018-01-10 12:00:00,277.36374,1.0636129,0.2618481,4.291666666666667,24.0
2018-01-11 12:00:00,275.15082,1.4984832,0.31680542,2.9166666666666665,12.0
2018-01-13 12:00:00,278.12555,0.52044743,0.36911833,3.5555555555555554,9.0
2018-01-14 12:00:00,277.625,0.6842445,0.24828966,4.25,12.0
2018-01-15 12:00:00,277.1478,0.6695424,0.5206539,2.7777777777777777,9.0
2018-01-16 12:00:00,278.31534,0.8955779,0.5169648,3.466666666666667,15.0
2018-01-17 12:00:00,277.94208,0.68177766,0.3507434,4.069767441860465,43.0
2018-01-19 12:00:00,277.56714,0.98378736,0.36174503,3.6666666666666665,42.0
2018-01-21 12:00:00,277.00443,1.1568563,0.42976323,3.5,34.0
2018-01-24 12:00:00,276.6855,1.2735916,0.263284,3.5,40.0
2018-01-26 12:00:00,275.9012,1.8346063,0.2838314,3.4375,16.0
2018-01-29 12:00:00,278.65613,0.26044282,0.39608425,4.580645161290323,31.0
2018-01-31 12:00:00,278.2737,0.7970308,0.32034174,3.86046511627907,43.0
2018-02-02 12:00:00,277.84235,0.5161575,0.34524488,4.348837209302325,43.0
2018-02-04 12:00:00,276.0551,1.2961113,0.3196889,3.27027027027027,37.0
2018-02-05 12:00:00,272.06,0.0,0.277,1.0,1.0
2018-02-06 12:00:00,274.805,1.6224911,0.34542248,3.0,6.0
2018-02-13 12:00:00,277.62726,0.42043915,0.37918186,4.3,40.0
2018-02-14 12:00:00,276.7618,0.89638036,0.46643284,4.090909090909091,33.0
2018-02-18 12:00:00,277.0657,0.35523978,0.28614908,3.2857142857142856,7.0
2018-02-21 12:00:00,277.25638,0.54628927,0.43174836,3.92,25.0
2018-02-22 12:00:00,274.36603,0.94451064,0.35755086,2.4,5.0
2018-02-25 12:00:00,275.5647,1.5947617,0.20968738,3.8529411764705883,34.0
2018-02-26 12:00:00,276.39273,1.5537498,0.558425,3.8863636363636362,44.0
2018-02-27 12:00:00,273.6011,1.1544858,0.4357654,2.611111111111111,18.0
2018-02-28 12:00:00,276.2462,1.544434,0.28274414,4.142857142857143,42.0
2018-03-02 12:00:00,276.9211,1.0044695,0.64555585,4.454545454545454,44.0
2018-03-03 12:00:00,274.317,1.7041605,0.26822436,3.0,10.0
2018-03-04 12:00:00,277.90002,0.42441326,0.28058955,4.28125,32.0
2018-03-05 12:00:00,274.55914,1.3887373,0.23429291,2.125,24.0
2018-03-07 12:00:00,273.70663,1.5755708,0.29244772,1.6666666666666667,3.0
2018-03-08 12:00:00,277.92685,1.0681032,0.47835797,4.2368421052631575,38.0
2018-03-09 12:00:00,271.83,0.0,0.335,1.0,1.0
2018-03-14 12:00:00,278.8171,0.62389785,0.5269791,4.311111111111111,45.0
2018-03-16 12:00:00,276.76584,1.1016759,0.24417856,3.0833333333333335,12.0
2018-03-17 12:00:00,276.29572,1.6991392,0.43278387,1.1428571428571428,7.0
2018-03-20 12:00:00,276.04153,1.0717176,0.27734455,2.6153846153846154,13.0
2018-03-21 12:00:00,276.72656,1.3178093,0.2415825,2.96875,32.0
2018-03-22 12:00:00,276.26785,1.4028169,0.30247965,3.3214285714285716,28.0
2018-03-23 12:00:00,278.2031,0.48464736,0.4687504,4.230769230769231,13.0
2018-03-24 12:00:00,278.56677,0.50426877,0.43432406,4.212765957446808,47.0
2018-03-25 12:00:00,275.41,1.344527,0.25029317,1.5,36.0
2018-03-26 12:00:00,277.88998,0.0,0.29500002,2.0,1.0
2018-03-27 12:00:00,278.7684,1.0609708,0.54383147,4.026315789473684,38.0
2018-03-30 12:00:00,277.9168,1.5730351,0.2943148,3.409090909090909,22.0
2018-04-01 12:00:00,276.365,1.074997,0.317,2.0,2.0
2018-04-02 12:00:00,275.993,1.604045,0.28465295,2.45,20.0
